System;Site;Replication-task;ARN
pmx;indy;edb-mq-dia-repl-task-pmx-indy-par-a13;arn:aws:dms:us-east-2:846946056819:task:WLP63OVVLXZWB6WOP4YK7IV7HEA6XWPAO7FVKMI
pmx;sesto;edb-mq-dia-repl-task-pmx-sesto-a13;arn:aws:dms:us-east-2:846946056819:task:IEFK7ITG5QKIUF65ISZYXDLSESWKMEWEKJQFQUY
pmx;indy;edb-mq-dia-repl-task-pmx-indy-idap-a14;arn:aws:dms:us-east-2:846946056819:task:YDVVZDQR7KE7NXDS7GQZEX63UBAI7LBTW62NCYA
pmx;indy;edb-mq-dia-repl-task-pmx-indy-par-a14;arn:aws:dms:us-east-2:846946056819:task:CALC3HREBTB5QUGV6AFZ35B3D6NPKT3MW55VEAQ
pmx;sesto;edb-mq-dia-repl-task-pmx-sesto-a14;arn:aws:dms:us-east-2:846946056819:task:M6D2BPL73O4HNQS52MGTNOGGYRQUFRD6SRAAMJI
pmx;indy;edb-mq-dia-repl-task-pmx-indy-idap-a15;arn:aws:dms:us-east-2:846946056819:task:ER3IDDE254VRC2ZS2U7KEXNCWCEVYQKVKS5AF6Y
pmx;indy;edb-mq-dia-repl-task-pmx-indy-par-a15;arn:aws:dms:us-east-2:846946056819:task:54CVFHA4VDOAPEQYACZLOSBB7TPF754V3ICS56A
pmx;sesto;edb-mq-dia-repl-task-pmx-sesto-a15;arn:aws:dms:us-east-2:846946056819:task:EV6BWNA43NL55G6EQNUAIWPDDYA6J2KTCWE34EA
pmx;indy;edb-mq-dia-repl-task-pmx-indy-idap-a16;arn:aws:dms:us-east-2:846946056819:task:OHYV7TPRNVXLEZ7FRZ7HABFKEF5B55KAJPFA6IY
pmx;indy;edb-mq-dia-repl-task-pmx-indy-par-a16;arn:aws:dms:us-east-2:846946056819:task:V2L4Z5U2EP5CKYGBA652KXVBNZSGRK53HAE3HAQ
pmx;sesto;edb-mq-dia-repl-task-pmx-sesto-a16;arn:aws:dms:us-east-2:846946056819:task:VIR6LWJIRWFVIBWPJAX6WVWPBMEP6GLWSUZD3GY
pmx;indy;edb-mq-dia-repl-task-pmx-indy-par-a17;arn:aws:dms:us-east-2:846946056819:task:C75LOFVA6TPYH2PN4ZMH4WTHWRMFPF42STPEXHA
pmx;sesto;edb-mq-dia-repl-task-pmx-sesto-a17;arn:aws:dms:us-east-2:846946056819:task:KBQM5WFIWKT6VIJJ22CBSVEPVJPE4FMF4ZKDS5I
pmx;indy;edb-mq-dia-repl-task-pmx-indy-par-a18;arn:aws:dms:us-east-2:846946056819:task:U2RXKCZXKM5JHZMX5OJITUCB6XSKG4WF4XBUVYQ
pmx;sesto;edb-mq-dia-repl-task-pmx-sesto-a18;arn:aws:dms:us-east-2:846946056819:task:D3DINHNBST2IGY3F7NJNBL2DRDN43QAD375Y7VI
